,name,location,open_times,amenities,phone,website,rating,url
193,Munchy's Kitchen,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=6/8 3rd Avenue, Gwarinpa Estate, Abuja, Nigeria, Abuja Nigeria@9.061633,7.398705",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24189206-Reviews-Munchy_s_Kitchen-Abuja_Federal_Capital_Territory.html
194,Obudu Place,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=No 2b Batna Close Off Agadez, Abuja Nigeria@9.075887,7.473593",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24935959-Reviews-Obudu_Place-Abuja_Federal_Capital_Territory.html
195,Lagos Bistro Abuja,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Humbori Street 7 2 Adetokunbo Ademola Cr., Abuja 900288 Nigeria@9.076249,7.487343",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d22851020-Reviews-Lagos_Bistro_Abuja-Abuja_Federal_Capital_Territory.html
196,Kerics Food,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=Prince and Princess Estate Abuja, Abuja Nigeria@9.00182,7.455",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d17593174-Reviews-Kerics_Food-Abuja_Federal_Capital_Territory.html
197,Habil Café,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=169 Ademola Adetokunbo Crescent, Abuja 900288 Nigeria@9.069064,7.478429",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23142527-Reviews-Habil_Cafe-Abuja_Federal_Capital_Territory.html
198,Pizzarama Restaurant Limited,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=17 Aminu Kano Crescent Wuse II Abuja, Nigeria, Abuja 900288 Nigeria@9.07277,7.46802",3.43.4 of 5 bubbles(5 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d10696317-Reviews-Pizzarama_Restaurant_Limited-Abuja_Federal_Capital_Territory.html
199,Flames Churrasco Grill and Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=46 Euphrates Crescent, Wuse, Abuja 905102 Nigeria@9.07452,7.46524",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d13412097-Reviews-Flames_Churrasco_Grill_and_Bar-Abuja_Federal_Capital_Territory.html
200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d25309070-Reviews-Ocean_Basket_Jabi_Lake_Mall_Abuja-Abuja_Federal_Capital_Territory.html
201,Healthnhealthy Specialty Bakery & Cafe,Abuja Photos,N/A,N/A,N/A,"https://maps.google.com/maps?saddr=&daddr=1st Avenue Plot 72, near Bunny B Shops, Gwarinpa Estate, Abuja 905102 Nigeria@9.10274,7.41724",4.64.6 of 5 bubbles(5 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d12535801-Reviews-Healthnhealthy_Specialty_Bakery_Cafe-Abuja_Federal_Capital_Territory.html
202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d16845795-Reviews-Kitch_Afrik-Abuja_Federal_Capital_Territory.html
203,The Gazebo,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=249 Leventis Close Fraser Suites, Abuja Nigeria",5.05 of 5 bubbles(3 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d20029644-Reviews-The_Gazebo-Abuja_Federal_Capital_Territory.html
204,Biobak Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Nkwere Street, Abuja 905102 Nigeria@9.0331,7.49877",3.63.6 of 5 bubbles(67 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d2720967-Reviews-Biobak_Restaurant-Abuja_Federal_Capital_Territory.html
205,Nostalgia Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Plot 1139 Cadastral Zone B07, Next to Aso Radio, Bon Hotel Grand Towers, Abuja 901101 Nigeria@9.238751,7.405343",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d13087611-Reviews-Nostalgia_Restaurant-Abuja_Federal_Capital_Territory.html
206,Da Bang Cafe,Abuja Photos,N/A,N/A,N/A,"https://maps.google.com/maps?saddr=&daddr=No. 61, Mall, 63 Adetokunbo Ademola Cres, Wuse 2m, Abuja Nigeria@9.070896,7.483255",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d29004546-Reviews-Da_Bang_Cafe-Abuja_Federal_Capital_Territory.html
207,Hajwan Food Planet Abuja,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Catholic Church of Annunciation Junction Kpaduma II, Guzape District, Abuja 900104 Nigeria",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23472096-Reviews-Hajwan_Food_Planet_Abuja-Abuja_Federal_Capital_Territory.html
208,Curry Leaves,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Bangui Street, Abuja Nigeria@9.06882,7.48064",4.04 of 5 bubbles(2 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d18313237-Reviews-Curry_Leaves-Abuja_Federal_Capital_Territory.html
209,Flames Restaurant & Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=1st Floor Silverbird Mall Central Business District, Abuja 900211 Nigeria@9.064595,7.485987",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23343754-Reviews-Flames_Restaurant_Bar-Abuja_Federal_Capital_Territory.html
210,The Pier Restaurant & Lounge,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=Plot 498 Ahmadu Bello Way, Kado, Abuja Nigeria",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d19962189-Reviews-The_Pier_Restaurant_Lounge-Abuja_Federal_Capital_Territory.html
211,Domino's Pizza,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=52 Kumasi Cresent, Off Aminu Kano treet - Wuse II, Abuja., Abuja 905102 Nigeria@9.079818,7.47705",3.73.7 of 5 bubbles(58 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d8686693-Reviews-Domino_s_Pizza-Abuja_Federal_Capital_Territory.html
212,Come Chop Bole & Grillz,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=4th Ave., Abuja 900211 Nigeria@9.116805,7.402764",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24088704-Reviews-Come_Chop_Bole_Grillz-Abuja_Federal_Capital_Territory.html
213,Eat to Live Lifestyle,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Aminu Kano Cres. Located Inside Wuse 2, Abuja, Nigeria, GCL Plaza Suite 102 Next to 1st Forty Hotel, Abuja 900288 Nigeria@9.07277,7.46802",4.54.5 of 5 bubbles(4 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d11700335-Reviews-Eat_to_Live_Lifestyle-Abuja_Federal_Capital_Territory.html
214,Cilantro Abuja airport,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=Nnamdi Azikiwe airport, Abuja Nigeria@9.006259,7.269506",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d26586356-Reviews-Cilantro_Abuja_airport-Abuja_Federal_Capital_Territory.html
215,Wingist Restaurant And Sports Bar,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=No 7 Lingu Crescent Wuse 2 House Of Freeda Building Opposite Chicken Capitol, Abuja 901008 Nigeria@9.05785,7.49508",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23314125-Reviews-Wingist_Restaurant_And_Sports_Bar-Abuja_Federal_Capital_Territory.html
216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d13547552-Reviews-Asiana_Restaurant_Bar-Abuja_Federal_Capital_Territory.html
217,Sofa Lounge,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=81 Adetokumbo Ademola Crescent Wuse 2, Abuja 900288 Nigeria",3.33.3 of 5 bubbles(7 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d8506912-Reviews-Sofa_Lounge-Abuja_Federal_Capital_Territory.html
